id;name;description;price;duration;image
21;"3 Days Desert Tour From Marrakech To Merzouga Dunes & Camel Trek";"The 3 days desert tour from marrakech to merzouga dunes & camel trek, including :
 Merzouga desert tour departure from Marrakech 3 days will allow you to explore the southern Sahara and its wonderful Kasbahs and to live unforgettable moments with the Berbers, as well as the visit of the old kasbah to Ait ben Haddou and Toudra gorge, sleep in a desert camp under Berber tent.";110.54;3;https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/06/ec/e0/09.jpg
22;"Atlas Mountains and 3 Valleys & Waterfalls - Camel Ride Marrakech";"Exploring Morocco’s Atlas Mountains without a guide may mean missing out on Berber culture and scenic viewpoints. Yet, many group tours follow rigid itineraries that don’t allow for spontaneity during the day. This private tour delivers on all counts—with a local guide to arrange logistics and enable interaction with Berber villagers, and the flexibility to personalize your itinerary. Optional camel ride, and Berber home visit are all included.";33.16;7;https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/06/71/23/12.jpg
